Película / Serie,Personal,Persona 1,Persona 2,Persona 3,Persona 4,Persona 5,Persona 6,Persona 7,Persona 8,Persona 9,Persona 10,Persona 11,Persona 12,Persona 13,Persona 14,Persona 15,Persona 16,Persona 17,Persona 18,Persona 19,Persona 20,IMDb,Año,Género,Duración,Presupuesto ,Recaudación,Capítulo (min),Temporadas
Elite,90,68,90,50,93,100,NA,70,NA,85,70,50,50,80,85,85,100,80,NA,80,85,7.3,2018,Drama juvenil,,,,55,6
Cobra Kai,95,NA,90,100,NA,75,70,85,70,80,60,30,90,82,90,NA,90,80,60,90,90,8.5,2018,Comedia,,,,30,5
Sex Education,80,70,NA,60,70,60,78,NA,NA,75,80,50,76,85,85,90,85,70,NA,80,80,8.3,2019,Comedia,,,,45,3
Control Z,80,80,80,60,80,NA,70,0,70,95,65,100,67,95,90,90,95,60,NA,90,85,6.8,2020,Drama ,,,,37,3
Euphoria,80,90,75,100,80,90,NA,85,NA,100,100,80,80,NA,90,90,95,70,90,90,90,8.3,2019,Drama,,,,55,2
Dune,75,80,20,0,NA,74,70,0,90,100,80,0,90,NA,90,NA,100,80,80,100,80,8,2021,Acción,155,165000000.00,402000000.00,,
Soul,90,60,100,0,91,NA,75,90,100,90,90,90,78,95,80,90,95,80,85,100,90,8,2020,Infantil,100,150000000.00,121000000.00,,
Joker,100,95,90,80,79,100,95,80,90,85,NA,100,89,100,100,NA,100,90,90,100,85,8.4,2019,Drama ,122,55000000.00,1074000000.00,,
Umbrella Academy,95,80,80,10,85,80,85,85,80,85,80,80,86,97,95,90,100,70,NA,100,95,7.9,2019,Acción,,,,60,4
The Mandalorian,90,NA,80,0,90,NA,90,NA,90,90,NA,50,92,NA,95,NA,NA,70,100,90,80,8.7,2019,Ficción,,,,40,3
The Breakfast Club,100,95,NA,0,76,80,0,85,NA,100,60,50,70,NA,80,95,NA,NA,80,80,90,7.8,1985,Comedia,97,1000000.00,51500000.00,,
El Camino,100,95,90,0,70,80,85,85,70,90,80,50,50,NA,80,NA,80,80,90,85,80,7.3,2019,Suspenso,122,,,,
The End of the F***ing World,95,NA,100,90,75,77,85,100,60,75,NA,70,73,86,85,NA,70,80,NA,90,95,8,2017,Drama ,,,,25,2
Wednesday,90,50,90,70,84,85,NA,86,60,85,95,0,82,90,90,NA,95,90,70,75,70,8.1,2022,Ficción,,,,45,1
Vecinos Invasores,88,NA,90,0,79,NA,72,97,70,90,85,0,79,100,85,90,80,90,90,70,80,6.7,2006,Infantil,83,80000000.00,339800000.00,,
Oppenheimer,91,50,90,90,83,90,NA,58,NA,90,90,100,100,NA,100,NA,75,NA,80,80,95,8.6,2023,Drama ,180,100000000.00,653000000.00,,
Matilda,85,85,100,100,85,100,70,100,70,85,90,40,86,100,95,85,NA,70,100,90,80,7,1996,infantil,102,36000000.00,33500000.00,,
The Last of Us,80,NA,85,0,NA,50,90,NA,90,90,NA,40,89,90,85,80,100,90,90,80,100,8.8,2023,Drama ,,,,50,1
Coco,85,80,NA,50,90,90,88,100,90,85,90,60,70,98,95,90,100,80,70,80,100,8.4,2017,Infantil,105,175000000.00,814300000.00,,
Valiente,70,60,100,80,90,100,90,100,80,70,90,80,70,100,80,95,90,70,70,80,80,7.1,2012,Infantil,93,185000000.00,540400000.00,,
El Renacido,75,80,NA,0,NA,78,NA,85,80,80,NA,0,78,NA,85,70,85,70,80,80,85,8,2015,Aventura,156,135000000.00,533000000.00,,
Super Mario Bros,80,NA,0,80,80,100,88,80,70,70,90,0,80,90,90,80,75,80,70,90,100,7.1,2023,Aventura,92,100000000.00,1358000000.00,,
Club de Cuervos,85,90,NA,0,95,100,90,NA,NA,85,90,100,78,100,90,NA,80,80,100,95,75,8.2,2015,Comedia,,,,40,4
Monster House,90,60,100,0,90,NA,70,85,90,90,80,90,80,NA,100,80,NA,NA,100,85,90,6.6,2006,Infantil,91,75000000.00,141900000.00,,
Gambito de Dama,70,50,85,80,100,100,NA,75,70,75,NA,100,80,NA,85,75,100,90,NA,80,100,8.5,2020,Drama,,,,60,1
Klaus,85,70,60,0,100,83,75,NA,90,90,100,100,80,90,80,60,90,70,80,100,100,8.2,2019,Infantil,96,40000000.00,,,
The Whale,85,90,85,80,100,90,67,80,60,85,85,80,83,95,90,90,90,80,90,100,70,7.7,2022,Drama,107,3000000.00,54900000.00,,
Everything Everywhere All at Once,80,50,NA,0,90,70,80,NA,80,85,70,80,70,NA,85,80,85,70,50,100,80,7.8,2022,Fantasía,139,20000000.00,141200000.00,,
Luca,90,50,90,80,90,NA,95,90,70,NA,60,80,60,80,90,100,80,80,NA,60,90,7.4,2021,Infantil,95,175000000.00,104000000.00,,
Luis Miguel: la serie,75,80,NA,0,100,100,70,NA,50,100,NA,100,79,80,80,65,75,70,NA,50,85,8.1,2018,Biográfica,,,,60,3
Skins,90,NA,86,NA,90,NA,NA,50,100,NA,90,NA,60,85,NA,NA,NA,NA,50,NA,NA,8.2,2007,Drama,,,,46,7
Demon slayer,90,80,NA,100,70,84,85,100,88,90,90,88,70,NA,87,NA,NA,NA,70,85,NA,8.6,2019,Acción,,,,24,3
Breaking Bad,100,72,90,NA,100,NA,90,90,NA,100,100,96,65,95,98,100,NA,NA,80,NA,80,9.5,2008,Crimen,,,,49,5
Peaky Blinders,90,NA,NA,NA,NA,Na,95,80,95,NA,NA,97,NA,40,NA,65,NA,85,100,NA,NA,8.8,2013,Drama,,,,60,6
The Witcher,100,NA,NA,NA,NA,Na,80,80,95,95,NA,NA,78,NA,NA,NA,NA,NA,40,75,NA,8,2019,Aventura,,,,60,4
Gossip Girl,80,100,85,NA,100,Na,NA,60,NA,NA,NA,NA,50,80,85,NA,72,30,80,NA,100,7.5,2007,Drama,,,,42,6
Pretty Little Liars,100,100,94,NA,85,Na,NA,Na,80,NA,NA,NA,70,80,85,NA,78,20,100,NA,90,7.4,2010,Misterio,,,,44,7
The Walking Dead,80,83,NA,90,NA,85,70,70,90,100,100,85,NA,100,NA,100,95,NA,80,60,80,8.1,2010,Suspenso,,,,44,11
Flash,90,85,NA,80,50,83,45,70,70,NA,NA,95,90,NA,NA,50,NA,89,80,NA,NA,7.5,2014,Aventura,,,,43,9
You,90,99,70,NA,NA,87,NA,40,85,70,60,93,76,15,NA,0,NA,NA,80,NA,85,7.7,2018,Drama,,,,45,5
La gloria,90,NA,NA,NA,NA,Na,NA,Na,97,NA,NA,NA,NA,NA,NA,100,NA,NA,100,75,NA,8.1,2022,Misterio,,,,50,1
Heartstopper,80,99,100,NA,NA,Na,NA,Na,96,90,100,NA,100,0,96,30,100,100,95,80,95,8.6,2022,Romance,,,,30,3
Ginny y Georgia,90,100,1,NA,30,Na,NA,Na,NA,NA,70,NA,NA,60,NA,NA,49,65,85,NA,90,7.5,2021,Drama,,,,50,4
Game of thrones,100,NA,95,90,100,Na,90,Na,NA,98,NA,95,98,NA,NA,75,82,88,50,NA,NA,9.2,2011,Acción,,,,57,8
13 reasons why,70,NA,1,88,60,Na,NA,20,95,NA,95,79,NA,5,NA,NA,NA,40,NA,NA,NA,7.5,2017,Drama,,,,60,4
Hasta el hueso,90,NA,80,NA,NA,89,NA,Na,100,92,NA,NA,NA,100,NA,NA,NA,NA,10,NA,NA,6.8,2017,Drama,107,8000000.00,7000000.00,,
Monster,90,NA,NA,NA,NA,99,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,8.7,2004,Drama,,20000000.00,160000000.00,24,1
El castillo vagabundo,100,NA,90,100,NA,97,90,Na,100,100,90,NA,100,100,99,NA,91,88,100,100,NA,8.2,2004,Aventura,119,42987000.00,200000000.00,,
Parásitos,100,NA,85,90,80,Na,NA,100,100,95,100,98,100,97,97,100,94,95,NA,NA,NA,8.5,2019,Drama,132,393216000.00,11400000.00,,
Parasyte: The Maxim,100,75,NA,NA,NA,90,NA,50,98,80,NA,NA,NA,25,NA,100,NA,NA,30,NA,NA,8.3,2014,Drama,,,,22,1
Relatos Japoneses de lo macabro,100,NA,NA,NA,NA,100,NA,90,90,NA,100,NA,89,NA,NA,NA,NA,NA,2,70,NA,6,2023,Terror,,,,24,1
 Mi nombre,96,NA,NA,NA,NA,Na,NA,60,100,90,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,7.8,2021,Drama,,,,50,1
Olvidado,90,NA,NA,NA,NA,Na,NA,Na,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,7.4,2017,Misterio,108,2973783.00,9968972.00,,
Death note,100,70,90,95,80,98,95,80,95,92,90,95,NA,100,96,100,NA,NA,85,NA,NA,8.9,2006,Drama,,,,23,1
Corre,60,71,NA,NA,NA,Na,NA,Na,86,85,80,NA,86,96,NA,NA,NA,NA,95,NA,NA,6.7,2020,Suspenso,90,1000000.00,5491510.00,,
El viaje de chihiro,100,NA,95,100,NA,98,90,Na,100,100,90,NA,100,100,100,100,100,70,90,95,NA,8.6,2001,Aventura,125,19200000.00,274000000.00,,
Fragmentado,100,NA,96,85,90,Na,80,90,88,100,NA,90,79,90,98,NA,80,NA,98,NA,NA,7.3,2016,Suspenso,117,9000000.00,278000000.00,,
Hereditary,90,NA,90,NA,40,100,NA,50,95,95,85,97,100,92,NA,NA,NA,NA,90,NA,80,7.3,2018,Terror,127,10000000.00,80200000.00,,
Bird Box,90,93,80,100,50,Na,NA,50,80,80,80,87,72,87,NA,NA,79,60,100,75,75,6.6,2018,Misterio,124,19800000.00,,,
Desde mi cielo,100,NA,90,NA,80,80,NA,Na,100,80,100,NA,NA,NA,90,NA,91,80,NA,NA,NA,6.6,2009,Drama,135,65000000.00,94894448,,
Suits ,85,75,NA,95,100,NA,90,82,NA,NA,NA,NA,90,NA,90,NA,NA,100,NA,87,90,8.4,2009,Drama,,,,41,9
Friends ,85,90,85,80,NA,NA,100,87,NA,NA,NA,90,87,80,87,50,80,NA,NA,88,100,8.9,1994,Comedia,,,,22,10
Grey's Anatomy,90,85,100,85,100,50,NA,89,NA,80,NA,95,88,74,88,90,74,NA,NA,100,NA,7.6,2004,Drama,,,,43,19
El origen ,100,92,95,100,100,90,97,100,95,90,100,NA,100,90,100,80,90,NA,100,100,97,8.8,2010,Ficción,148,160000000.00,825532764.00,,
Batman Inicia ,93,85,90,88,100,80,95,91,NA,100,90,90,100,99,100,80,99,100,90,100,95,8.2,2005,Acción,160,150000000.00,374218673.00,,
Batman El Caballero de la Noche,100,95,100,100,100,80,NA,97,NA,100,100,100,100,98,100,80,98,90,100,100,NA,9,2008,Acción,152,180000000.00,1004558444.00,,
Batman El Caballero de la Noche Asciende,97,80,90,85,100,80,NA,89,NA,100,100,80,100,70,100,90,70,100,100,85,NA,8.4,2012,Acción,165,260000000.00,1084439099.00,,
Princesa por accidente,80,NA,100,93,100,90,NA,NA,NA,100,NA,87,85,65,85,100,65,100,NA,92,NA,5.8,2010,Romance ,109,20000000.00,39700000.00,,
Piratas del Caribe La maldición del Perla Negra,94,80,65,90,100,100,100,93,90,100,100,95,92,74,92,NA,74,NA,100,70,100,8.1,2003,Aventura,183,140000.00,655000.00,,
Twilight Saga,96,NA,90,75,80,NA,100,27,NA,50,60,50,70,89,70,50,89,100,60,86,100,5.3,2008,Romance,122,370000000.00,408400.00,,
The amazing Spiderman,94,75,95,90,85,50,90,99,Na,95,90,96,86,90,86,100,90,60,90,80,90,6.9,2012,Acción,2012,230000000.00,748400.00,,
Piratas del caribe: El cofre de la muerte,87,80,60,70,100,100,100,94,90,100,100,95,80,93,80,100,93,90,100,89,100,7.2,2006,Aventura,2006,255000000.00,1065000.00,,
