title,personal_rating,imdb,year,genre,duration,budget,box_office,fan_rating
Deadpool ,90,8.0,2016,action,108,58.0,782.6,77.70588235294117
Deadpool 2,95,7.6,2018,action,110,110.0,785.8,78.3529411764706
Jojo Rabbit,80,7.9,2019,comedy,108,14.0,90.335025,74.625
Onward,80,7.4,2021,kids,102,175.0,141.495051,76.22222222222223
Dolittle,80,5.6,2020,adventure,101,180.0,251.5,87.94117647058823
Dune,75,8.0,2021,action,155,165.0,402.0,66.70588235294117
Soul,90,8.0,2020,kids,100,150.0,121.0,83.10526315789474
Joker,100,8.4,2019,drama,122,55.0,1074.0,91.55555555555556
John Wick: Chapter 3,95,7.4,2019,action,130,75.0,326.7,82.26315789473684
John Wick: Chapter 4,90,7.7,2023,action,169,100.0,432.0,78.23076923076923
The Breakfast Club,100,7.8,1985,comedy,97,1.0,51.5,69.4
Aves de presa,100,6.1,2020,action,109,85.0,205.3,74.44444444444444
Paddington,95,7.3,2014,adventure,95,50.0,282.8,81.9375
Paddington 2,90,7.8,2017,adventure,103,40.0,227.331938,75.94444444444444
Vecinos Invasores,88,6.7,2006,kids,83,80.0,339.8,74.83333333333333
Oppenheimer,91,8.6,2023,drama,180,100.0,653.0,84.73333333333333
Matilda,85,7.0,1996,kids,102,36.0,33.5,85.84210526315789
Diary of a Wimpy Kid,80,6.2,2010,comedy,94,10.5,75.700498,78.0625
Coco,85,8.4,2017,kids,105,175.0,814.3,84.52631578947368
Valiente,70,7.1,2012,kids,93,185.0,540.4,83.75
El Renacido,75,8.0,2015,adventure,156,135.0,533.0,69.06666666666666
Super Mario Bros,80,7.1,2023,adventure,92,100.0,1358.0,74.36842105263158
Diary of a Wimpy Kid 2,85,6.6,2011,comedy,99,21.0,73.417394,84.25
Monster House,90,6.6,2006,kids,91,75.0,141.9,80.625
Diary of a Wimpy Kid 3,70,6.3,2012,comedy,94,15.0,77.112176,84.0625
Shazam,85,7.0,2019,action,132,50.0,369.971656,79.89473684210526
The Whale,85,7.7,2022,drama,107,3.0,54.9,84.5
Everything Everywhere All at Once,80,7.8,2022,fantasy,139,20.0,141.2,72.05882352941177
Luca,90,7.4,2021,kids,95,175.0,104.0,79.11764705882354
Toy Story,75,8.3,1995,kids,81,30.0,394.436856,74.0
Toy Story 2,90,7.9,1999,kids,92,90.0,497.375381,76.375
Toy Story 3,90,8.3,2010,kids,103,200.0,1066.969703,84.78571428571429
Toy Story 4,100,7.7,2019,kids,100,200.0,1073.394593,89.71428571428571
"Spider-Man: Across the Spider-Verse
",90,8.7,2023,kids,140,100.0,690.001944,82.125
Spider-Man: No Way Home,100,8.2,2021,action,148,200.0,1921.847111,77.57142857142857
High School Musical 3,80,4.9,2008,kids,112,11.0,252.909177,76.54545454545455
Free Guy,100,7.1,2021,action,114,125.0,331.5,80.18181818181819
Lightyear,80,6.1,2022,kids,105,200.0,226.4,85.86666666666666
Haunted Mansion,90,6.1,2023,comedy,123,90.0,182.3,73.91666666666667
Minions,90,6.4,2015,kids,91,74.0,1159.398397,66.15384615384616
Minions 2,90,6.5,2022,kids,87,80.0,939.62821,93.0
Gold,80,6.7,2016,biography,120,20.0,14.880939,84.35714285714286
Zootopia,90,8.0,2016,kids,108,150.0,1023.741156,61.111111111111114
Alvin and the Chipmunks,100,5.2,2007,adventure,92,55.0,361.336633,87.36363636363636
Alvin and the Chipmunks: The Squeakquel,70,4.5,2009,adventure,88,75.0,443.140005,53.666666666666664
Hasta el hueso,90,6.8,2017,drama,107,8.0,70.0,78.5
Alvin and the Chipmunks: Chipwrecked,90,4.3,2011,adventure,87,75.0,342.695435,73.8
El castillo vagabundo,100,8.2,2004,adventure,119,42.987,200.0,96.07142857142857
Parásitos,100,8.5,2019,drama,132,393.216,11.4,95.07142857142857
Kung Fu Panda,100,7.6,2008,kids,92,130.0,631.74456,68.5
Kung Fu Panda 2,100,7.2,2011,kids,90,150.0,665.692281,77.28571428571429
Kung Fu Panda 3,96,7.1,2016,kids,95,145.0,521.170825,72.5
Olvidado,90,7.4,2017,mistery,108,2.973783,9.968972,73.5
Scream VI,100,6.5,2023,terror,122,35.0,168.961389,90.73333333333333
Corre,60,6.7,2020,suspense,90,1.0,5.49151,85.57142857142857
El viaje de chihiro,100,8.6,2001,adventure,125,19.2,274.0,95.2
Fragmentado,100,7.3,2016,suspense,117,9.0,278.0,89.53846153846153
Hereditary,90,7.3,2018,terror,127,10.0,80.2,84.5
Johnny English,90,6.2,2003,comedy,87,40.0,160.583018,78.0
