title,personal_rating,imdb,year,genre,duration,budget,box_office,episode,seasons,fan_rating
Elite,90,73.0,2018,drama,154.8,97118603.86868687,419472545.9139785,55.0,6.0,77.70588235294117
Cobra Kai,95,85.0,2018,comedy,154.8,97118603.86868687,419472545.9139785,30.0,5.0,78.3529411764706
Sex Education,80,83.0,2019,comedy,154.8,97118603.86868687,419472545.9139785,45.0,3.0,74.625
Control Z,80,68.0,2020,drama ,154.8,97118603.86868687,419472545.9139785,37.0,3.0,76.22222222222223
Euphoria,80,83.0,2019,drama,154.8,97118603.86868687,419472545.9139785,55.0,2.0,87.94117647058823
Dune,75,80.0,2021,action,155.0,165000000.0,402000000.0,44.12,3.92,66.70588235294117
Soul,90,80.0,2020,children,100.0,150000000.0,121000000.0,44.12,3.92,83.10526315789474
Umbrella Academy,95,79.0,2019,action,154.8,97118603.86868687,419472545.9139785,60.0,4.0,82.26315789473684
The Mandalorian,90,87.0,2019,science fiction,154.8,97118603.86868687,419472545.9139785,40.0,3.0,78.23076923076923
The Breakfast Club,100,78.0,1985,comedy,97.0,1000000.0,51500000.0,44.12,3.92,69.4
El Camino,100,73.0,2019,thrillers,122.0,97118603.86868687,419472545.9139785,44.12,3.92,74.44444444444444
The End of the F***ing World,95,80.0,2017,drama ,154.8,97118603.86868687,419472545.9139785,25.0,2.0,81.9375
Wednesday,90,81.0,2022,science fiction,154.8,97118603.86868687,419472545.9139785,45.0,1.0,75.94444444444444
Vecinos Invasores,88,67.0,2006,children,83.0,80000000.0,339800000.0,44.12,3.92,74.83333333333333
Oppenheimer,91,86.0,2023,drama ,180.0,100000000.0,653000000.0,44.12,3.92,84.73333333333333
Matilda,85,70.0,1996,children,102.0,36000000.0,33500000.0,44.12,3.92,85.84210526315789
The Last of Us,80,88.0,2023,drama ,154.8,97118603.86868687,419472545.9139785,50.0,1.0,78.0625
Coco,85,84.0,2017,children,105.0,175000000.0,814300000.0,44.12,3.92,84.52631578947368
Valiente,70,71.0,2012,children,93.0,185000000.0,540400000.0,44.12,3.92,83.75
El Renacido,75,80.0,2015,adventure,156.0,135000000.0,533000000.0,44.12,3.92,69.06666666666666
Club de Cuervos,85,82.0,2015,comedy,154.8,97118603.86868687,419472545.9139785,40.0,4.0,84.25
Monster House,90,66.0,2006,children,91.0,75000000.0,141900000.0,44.12,3.92,80.625
Gambito de Dama,70,85.0,2020,drama,154.8,97118603.86868687,419472545.9139785,60.0,1.0,84.0625
Klaus,85,82.0,2019,children,96.0,40000000.0,419472545.9139785,44.12,3.92,79.89473684210526
The Whale,85,77.0,2022,drama,107.0,3000000.0,54900000.0,44.12,3.92,84.5
Everything Everywhere All at Once,80,78.0,2022,fantasy,139.0,20000000.0,141200000.0,44.12,3.92,72.05882352941177
Luca,90,74.0,2021,children,95.0,175000000.0,104000000.0,44.12,3.92,79.11764705882354
Luis Miguel: la serie,75,81.0,2018,biopics,154.8,97118603.86868687,419472545.9139785,60.0,3.0,74.0
Skins,90,82.0,2007,drama,154.8,97118603.86868687,419472545.9139785,46.0,7.0,76.375
Demon slayer,90,86.0,2019,action,154.8,97118603.86868687,419472545.9139785,24.0,3.0,84.78571428571429
Breaking Bad,100,95.0,2008,crime,154.8,97118603.86868687,419472545.9139785,49.0,5.0,89.71428571428571
Peaky Blinders,90,88.0,2013,drama,154.8,97118603.86868687,419472545.9139785,60.0,6.0,82.125
The Witcher,100,80.0,2019,adventure,154.8,97118603.86868687,419472545.9139785,60.0,4.0,77.57142857142857
Gossip Girl,80,75.0,2007,drama,154.8,97118603.86868687,419472545.9139785,42.0,6.0,76.54545454545455
Pretty Little Liars,100,74.0,2010,mistery,154.8,97118603.86868687,419472545.9139785,44.0,7.0,80.18181818181819
The Walking Dead,80,81.0,2010,thrillers,154.8,97118603.86868687,419472545.9139785,44.0,11.0,85.86666666666666
Flash,90,75.0,2014,adventure,154.8,97118603.86868687,419472545.9139785,43.0,9.0,73.91666666666667
You,90,77.0,2018,drama,154.8,97118603.86868687,419472545.9139785,45.0,5.0,66.15384615384616
