title,personal_rating,person_1,person_2,person_3,person_4,person_5,person_6,person_7,person_8,person_9,person_10,person_11,person_12,person_13,person_14,person_15,person_16,person_17,person_18,person_19,person_20,imdb,year,genre,duration,budget,box_office,episode,seasons
Elite,90,68.0,90.0,50.0,93.0,100.0,,70.0,,85.0,70.0,50.0,50.0,80.0,85.0,85.0,100.0,80.0,,80.0,85.0,73.0,2018,drama,,,,55.0,6.0
Cobra Kai,95,,90.0,100.0,,75.0,70.0,85.0,70.0,80.0,60.0,30.0,90.0,82.0,90.0,,90.0,80.0,60.0,90.0,90.0,85.0,2018,comedy,,,,30.0,5.0
Sex Education,80,70.0,,60.0,70.0,60.0,78.0,,,75.0,80.0,50.0,76.0,85.0,85.0,90.0,85.0,70.0,,80.0,80.0,83.0,2019,comedy,,,,45.0,3.0
Control Z,80,80.0,80.0,60.0,80.0,,70.0,0.0,70.0,95.0,65.0,100.0,67.0,95.0,90.0,90.0,95.0,60.0,,90.0,85.0,68.0,2020,drama ,,,,37.0,3.0
Euphoria,80,90.0,75.0,100.0,80.0,90.0,,85.0,,100.0,100.0,80.0,80.0,,90.0,90.0,95.0,70.0,90.0,90.0,90.0,83.0,2019,drama,,,,55.0,2.0
Dune,75,80.0,20.0,0.0,,74.0,70.0,0.0,90.0,100.0,80.0,0.0,90.0,,90.0,,100.0,80.0,80.0,100.0,80.0,80.0,2021,action,155.0,165000000.0,402000000.0,,
Soul,90,60.0,100.0,0.0,91.0,,75.0,90.0,100.0,90.0,90.0,90.0,78.0,95.0,80.0,90.0,95.0,80.0,85.0,100.0,90.0,80.0,2020,children,100.0,150000000.0,121000000.0,,
Joker,100,95.0,90.0,80.0,79.0,100.0,95.0,80.0,90.0,85.0,,100.0,89.0,100.0,100.0,,100.0,90.0,90.0,100.0,85.0,84.0,2019,drama ,122.0,55000000.0,1074000000.0,,
Umbrella Academy,95,80.0,80.0,10.0,85.0,80.0,85.0,85.0,80.0,85.0,80.0,80.0,86.0,97.0,95.0,90.0,100.0,70.0,,100.0,95.0,79.0,2019,action,,,,60.0,4.0
The Mandalorian,90,,80.0,0.0,90.0,,90.0,,90.0,90.0,,50.0,92.0,,95.0,,,70.0,100.0,90.0,80.0,87.0,2019,science fiction,,,,40.0,3.0
The Breakfast Club,100,95.0,,0.0,76.0,80.0,0.0,85.0,,100.0,60.0,50.0,70.0,,80.0,95.0,,,80.0,80.0,90.0,78.0,1985,comedy,97.0,1000000.0,51500000.0,,
El Camino,100,95.0,90.0,0.0,70.0,80.0,85.0,85.0,70.0,90.0,80.0,50.0,50.0,,80.0,,80.0,80.0,90.0,85.0,80.0,73.0,2019,thrillers,122.0,,,,
The End of the F***ing World,95,,100.0,90.0,75.0,77.0,85.0,100.0,60.0,75.0,,70.0,73.0,86.0,85.0,,70.0,80.0,,90.0,95.0,80.0,2017,drama ,,,,25.0,2.0
Wednesday,90,50.0,90.0,70.0,84.0,85.0,,86.0,60.0,85.0,95.0,0.0,82.0,90.0,90.0,,95.0,90.0,70.0,75.0,70.0,81.0,2022,science fiction,,,,45.0,1.0
